date,toc_name,nr_on_toc_external,nr_on_toc_non_track_assets,nr_on_toc_severe_weather,nr_on_toc_track,toc_on_self_fleet,toc_on_self_operations,toc_on_self_traincrew,toc_on_toc_fleet,toc_on_toc_operations,toc_on_toc_traincrew
Apr 2022 to Mar 2023 (Period 01),Avanti West Coast,6268,11319,222,4406,2355,751,3125,2489,373,1137
Apr 2022 to Mar 2023 (Period 02),Avanti West Coast,12967,4794,96,4319,2404,918,2563,2970,374,1284
Apr 2022 to Mar 2023 (Period 03),Avanti West Coast,5796,12505,255,3921,2627,2622,3681,5978,372,1328
Apr 2022 to Mar 2023 (Period 04),Avanti West Coast,8349,14311,5821,8108,5299,1197,9610,4894,275,919
Apr 2022 to Mar 2023 (Period 05),Avanti West Coast,10823,7806,1419,3014,6155,2866,9621,2433,448,1322
Apr 2022 to Mar 2023 (Period 06),Avanti West Coast,7155,2887,1032,5169,1804,1710,3962,5226,463,2187
Apr 2022 to Mar 2023 (Period 07),Avanti West Coast,7073,4488,2137,5276,2857,1364,4489,2815,523,1086
Apr 2022 to Mar 2023 (Period 08),Avanti West Coast,6621,10139,3588,5968,3968,2288,5501,8312,950,2076
Apr 2022 to Mar 2023 (Period 09),Avanti West Coast,4910,6831,1367,8726,2755,1492,5787,2468,544,2307
Apr 2022 to Mar 2023 (Period 10),Avanti West Coast,3716,7443,3096,7667,8649,2632,9393,1814,361,974
Apr 2022 to Mar 2023 (Period 11),Avanti West Coast,9528,15141,12013,7063,5844,2109,7896,4327,476,1144
Apr 2022 to Mar 2023 (Period 12),Avanti West Coast,5970,10270,3641,8196,4359,1394,5134,5620,558,1762
Apr 2022 to Mar 2023 (Period 13),Avanti West Coast,4973,8802,1246,3753,3405,1527,3063,1992,763,964
Apr 2023 to Mar 2024 (Period 01),Avanti West Coast,8155,8029,1278,6092,2660,682,2042,3792,474,1836
Apr 2023 to Mar 2024 (Period 02),Avanti West Coast,8792,7426,1477,7122,3729,803,1824,6353,504,1752
Apr 2023 to Mar 2024 (Period 03),Avanti West Coast,14350,12877,8924,4563,6440,673,1872,4279,462,2002
Apr 2023 to Mar 2024 (Period 04),Avanti West Coast,7980,13430,3126,5035,4579,993,3031,5616,770,1888
Apr 2023 to Mar 2024 (Period 05),Avanti West Coast,9743,6235,2242,2232,5411,706,3498,4534,552,2540
Apr 2023 to Mar 2024 (Period 06),Avanti West Coast,9656,9854,1449,4883,6057,1195,2029,3066,619,4488
Apr 2023 to Mar 2024 (Period 07),Avanti West Coast,6112,11019,4736,5332,7563,820,4369,3320,773,1952
Apr 2023 to Mar 2024 (Period 08),Avanti West Coast,16887,12553,6464,10564,5301,2042,5347,4667,502,1874
Apr 2023 to Mar 2024 (Period 09),Avanti West Coast,3526,17877,5351,2883,8520,1318,7675,7068,845,1857
Apr 2023 to Mar 2024 (Period 10),Avanti West Coast,12023,9529,13757,4562,4359,1465,10007,3652,425,1816
Apr 2023 to Mar 2024 (Period 11),Avanti West Coast,6256,17886,6388,3343,6533,785,3414,2926,723,1974
Apr 2023 to Mar 2024 (Period 12),Avanti West Coast,7922,13618,8046,3152,5408,711,4792,3341,589,1320
Apr 2023 to Mar 2024 (Period 13),Avanti West Coast,7026,8512,3230,2529,4480,972,5477,3074,574,989
Apr 2024 to Mar 2025 (Period 01),Avanti West Coast,7813,17895,2134,6937,4188,426,2926,2088,430,1694
Apr 2024 to Mar 2025 (Period 02),Avanti West Coast,10806,11242,3696,9481,6552,301,2603,3343,356,1104
Apr 2024 to Mar 2025 (Period 03),Avanti West Coast,12061,10717,529,7746,8823,603,2974,4160,676,2967
Apr 2024 to Mar 2025 (Period 04),Avanti West Coast,6221,14456,3522,7816,14044,537,5745,5420,342,1342
Apr 2024 to Mar 2025 (Period 05),Avanti West Coast,7849,17584,1525,5613,8784,582,4360,3492,552,1898
Apr 2024 to Mar 2025 (Period 06),Avanti West Coast,7702,14570,1929,2498,8939,1168,1999,4569,646,2334
Apr 2024 to Mar 2025 (Period 07),Avanti West Coast,13284,13449,2150,5000,6050,411,2196,4678,1075,1904
Apr 2024 to Mar 2025 (Period 08),Avanti West Coast,9614,12457,2130,10512,6751,1090,2126,3995,810,2019
Apr 2024 to Mar 2025 (Period 09),Avanti West Coast,12710,13302,14852,14182,6942,1320,3622,4836,962,2280
Apr 2024 to Mar 2025 (Period 10),Avanti West Coast,3888,12083,14263,8033,5929,762,3238,3852,1006,1572
Apr 2024 to Mar 2025 (Period 11),Avanti West Coast,17610,12689,8087,5782,11933,970,1975,5567,712,1463
Apr 2024 to Mar 2025 (Period 12),Avanti West Coast,5048,17747,4365,5701,7050,488,2856,3584,1099,1319
Apr 2024 to Mar 2025 (Period 13),Avanti West Coast,10149,9047,868,8446,6271,1530,1253,4064,426,1867
Apr 2025 to Mar 2026 (Period 01),Avanti West Coast,9740,11195,322,7084,6528,374,1710,3284,288,1424
Apr 2022 to Mar 2023 (Period 01),Caledonian Sleeper,491,203,106,262,781,286,261,114,8,28
Apr 2022 to Mar 2023 (Period 02),Caledonian Sleeper,816,283,71,60,694,254,131,42,14,54
Apr 2022 to Mar 2023 (Period 03),Caledonian Sleeper,545,929,15,54,228,197,129,1199,19,102
Apr 2022 to Mar 2023 (Period 04),Caledonian Sleeper,1456,390,88,27,632,282,227,336,25,19
Apr 2022 to Mar 2023 (Period 05),Caledonian Sleeper,74,261,253,24,262,321,94,124,36,58
Apr 2022 to Mar 2023 (Period 10),Caledonian Sleeper,72,405,779,106,1117,414,64,309,3,6
Apr 2022 to Mar 2023 (Period 11),Caledonian Sleeper,51,677,814,61,683,144,52,490,50,66
Apr 2022 to Mar 2023 (Period 12),Caledonian Sleeper,34,278,94,185,781,241,53,297,27,49
Apr 2022 to Mar 2023 (Period 13),Caledonian Sleeper,6,274,228,131,214,455,190,16,287,33
Apr 2023 to Mar 2024 (Period 01),Caledonian Sleeper,1465,192,83,158,1050,392,110,49,18,21
Apr 2023 to Mar 2024 (Period 02),Caledonian Sleeper,184,312,21,42,1090,380,420,108,9,29
Apr 2023 to Mar 2024 (Period 03),Caledonian Sleeper,337,356,354,137,1391,224,40,83,16,26
Apr 2023 to Mar 2024 (Period 04),Caledonian Sleeper,199,114,200,104,576,147,30,263,20,53
Apr 2023 to Mar 2024 (Period 05),Caledonian Sleeper,983,201,127,55,182,106,62,1053,42,47
Apr 2023 to Mar 2024 (Period 06),Caledonian Sleeper,141,154,66,82,361,116,28,192,15,66
Apr 2023 to Mar 2024 (Period 07),Caledonian Sleeper,159,1218,1184,159,313,116,132,321,81,20
Apr 2023 to Mar 2024 (Period 08),Caledonian Sleeper,668,193,685,184,434,244,148,421,15,92
Apr 2023 to Mar 2024 (Period 09),Caledonian Sleeper,13,376,574,62,2177,162,71,340,38,50
Apr 2023 to Mar 2024 (Period 10),Caledonian Sleeper,123,112,863,179,228,122,99,126,39,40
Apr 2023 to Mar 2024 (Period 11),Caledonian Sleeper,29,180,603,43,519,347,75,269,33,30
Apr 2023 to Mar 2024 (Period 12),Caledonian Sleeper,55,242,281,107,741,154,537,38,81,73
Apr 2023 to Mar 2024 (Period 13),Caledonian Sleeper,142,214,79,131,559,245,41,69,38,53
Apr 2024 to Mar 2025 (Period 01),Caledonian Sleeper,249,350,102,170,534,229,120,274,16,11
Apr 2024 to Mar 2025 (Period 02),Caledonian Sleeper,368,315,444,120,426,336,116,112,76,28
Apr 2024 to Mar 2025 (Period 03),Caledonian Sleeper,821,1797,53,122,301,385,75,686,20,1442
Apr 2024 to Mar 2025 (Period 04),Caledonian Sleeper,100,76,19,138,223,150,97,203,9,40
Apr 2024 to Mar 2025 (Period 05),Caledonian Sleeper,106,962,69,107,450,219,192,82,14,49
Apr 2024 to Mar 2025 (Period 06),Caledonian Sleeper,113,135,88,15,397,174,58,627,16,13
Apr 2024 to Mar 2025 (Period 07),Caledonian Sleeper,75,110,114,218,1004,282,181,465,44,37
Apr 2024 to Mar 2025 (Period 08),Caledonian Sleeper,151,172,449,97,268,280,188,140,49,128
Apr 2024 to Mar 2025 (Period 09),Caledonian Sleeper,77,250,366,89,986,299,245,293,50,97
Apr 2024 to Mar 2025 (Period 10),Caledonian Sleeper,354,258,558,187,925,406,196,81,19,69
Apr 2024 to Mar 2025 (Period 11),Caledonian Sleeper,333,113,245,30,408,356,175,103,49,34
Apr 2024 to Mar 2025 (Period 12),Caledonian Sleeper,4,328,950,77,442,299,115,118,36,37
Apr 2024 to Mar 2025 (Period 13),Caledonian Sleeper,44,242,62,37,995,449,87,87,0,32
Apr 2025 to Mar 2026 (Period 01),Caledonian Sleeper,69,331,15,231,1163,218,165,138,22,46
Apr 2022 to Mar 2023 (Period 04),Chiltern Railways,2686,1917,1731,1325,3432,526,887,270,25,530
Apr 2022 to Mar 2023 (Period 05),Chiltern Railways,3565,3642,939,1908,2401,1026,1050,445,32,433
Apr 2022 to Mar 2023 (Period 06),Chiltern Railways,2379,8089,714,1916,2270,630,768,283,37,382
Apr 2022 to Mar 2023 (Period 07),Chiltern Railways,2298,1286,172,3315,2958,302,628,436,124,271
Apr 2022 to Mar 2023 (Period 08),Chiltern Railways,1138,2426,2167,1189,2870,384,1127,670,180,438
Apr 2022 to Mar 2023 (Period 09),Chiltern Railways,2752,1535,1257,1181,3014,384,820,467,136,685
Apr 2022 to Mar 2023 (Period 10),Chiltern Railways,288,567,4,326,1168,155,164,137,26,34
Apr 2022 to Mar 2023 (Period 11),Chiltern Railways,2673,1099,547,2148,3888,234,749,540,18,352
Apr 2022 to Mar 2023 (Period 12),Chiltern Railways,4813,1592,264,181,2120,217,420,751,162,601
Apr 2022 to Mar 2023 (Period 13),Chiltern Railways,1202,2832,2871,64,2144,436,540,882,158,206
Apr 2023 to Mar 2024 (Period 01),Chiltern Railways,3535,3940,1798,2798,4018,454,1083,3888,125,186
Apr 2023 to Mar 2024 (Period 02),Chiltern Railways,1471,1127,847,673,1592,216,317,1069,27,350
Apr 2023 to Mar 2024 (Period 03),Chiltern Railways,2818,1345,1015,436,2604,250,842,302,30,113
Apr 2023 to Mar 2024 (Period 04),Chiltern Railways,908,898,362,211,1898,223,343,251,46,173
Apr 2023 to Mar 2024 (Period 05),Chiltern Railways,1144,2432,67,237,2382,282,655,196,57,318
Apr 2023 to Mar 2024 (Period 06),Chiltern Railways,818,1912,408,506,2510,137,718,372,42,148
Apr 2023 to Mar 2024 (Period 07),Chiltern Railways,1391,1526,263,178,1782,309,700,378,58,276
Apr 2023 to Mar 2024 (Period 08),Chiltern Railways,1525,2710,1482,93,2050,172,591,440,75,287
Apr 2023 to Mar 2024 (Period 09),Chiltern Railways,1058,1694,1030,1936,2836,201,806,349,84,384
Apr 2023 to Mar 2024 (Period 10),Chiltern Railways,1755,1646,3000,353,1779,464,776,252,21,129
Apr 2023 to Mar 2024 (Period 11),Chiltern Railways,1304,2000,4447,397,2071,498,282,361,88,231
Apr 2023 to Mar 2024 (Period 12),Chiltern Railways,993,7545,1428,104,1902,469,444,125,268,149
Apr 2023 to Mar 2024 (Period 13),Chiltern Railways,1377,1815,2633,140,3344,234,545,443,36,89
Apr 2024 to Mar 2025 (Period 01),Chiltern Railways,1442,966,480,40,1690,308,524,143,14,126
Apr 2024 to Mar 2025 (Period 02),Chiltern Railways,1140,838,564,322,3572,213,524,118,35,192
Apr 2024 to Mar 2025 (Period 03),Chiltern Railways,1291,6108,575,624,2116,176,508,403,125,192
Apr 2024 to Mar 2025 (Period 04),Chiltern Railways,5445,2274,644,375,2004,134,793,297,52,261
Apr 2024 to Mar 2025 (Period 05),Chiltern Railways,2838,2428,706,215,3291,214,374,521,62,148
Apr 2024 to Mar 2025 (Period 06),Chiltern Railways,1890,1080,837,1070,2480,244,688,385,137,397
Apr 2024 to Mar 2025 (Period 07),Chiltern Railways,483,4585,8690,1531,2360,231,828,1033,16,104
Apr 2024 to Mar 2025 (Period 08),Chiltern Railways,615,4959,533,221,3014,276,625,472,74,188
Apr 2024 to Mar 2025 (Period 09),Chiltern Railways,3268,2312,3059,1148,3649,502,2318,527,210,198
Apr 2024 to Mar 2025 (Period 10),Chiltern Railways,536,1596,398,1039,2568,225,1056,241,20,200
Apr 2024 to Mar 2025 (Period 11),Chiltern Railways,1292,1817,593,194,2578,111,645,1093,68,197
Apr 2024 to Mar 2025 (Period 12),Chiltern Railways,950,2030,83,1703,2630,499,592,199,37,116
Apr 2024 to Mar 2025 (Period 13),Chiltern Railways,2217,837,306,1024,1679,233,412,223,52,206
Apr 2025 to Mar 2026 (Period 01),Chiltern Railways,1000,2537,16,257,1889,200,509,181,31,115
Apr 2022 to Mar 2023 (Period 03),CrossCountry,5278,11784,3359,2880,1377,556,1386,3729,631,1474
Apr 2022 to Mar 2023 (Period 04),CrossCountry,6089,8544,8235,7096,1769,653,1584,5596,824,1890
Apr 2022 to Mar 2023 (Period 05),CrossCountry,6887,7693,6647,7472,2186,686,1028,4386,664,1576
Apr 2022 to Mar 2023 (Period 06),CrossCountry,6060,7595,2583,6583,1583,411,1338,2664,706,2054
Apr 2022 to Mar 2023 (Period 07),CrossCountry,6088,5887,2570,6776,1388,453,935,2814,635,1470
Apr 2022 to Mar 2023 (Period 08),CrossCountry,8720,6610,3825,5444,1794,918,2906,4618,908,2765
Apr 2022 to Mar 2023 (Period 09),CrossCountry,5126,6484,3638,4755,2193,693,3016,5466,1024,2337
Apr 2022 to Mar 2023 (Period 10),CrossCountry,1833,4588,2146,2055,1632,1197,1523,2204,772,1637
Apr 2022 to Mar 2023 (Period 11),CrossCountry,4465,7516,4062,6524,2507,441,1375,4774,777,1948
Apr 2022 to Mar 2023 (Period 12),CrossCountry,4924,4542,3489,6728,2137,378,1202,3989,832,1934
Apr 2022 to Mar 2023 (Period 13),CrossCountry,5230,4508,3856,3489,2102,531,784,4266,622,1585
Apr 2023 to Mar 2024 (Period 01),CrossCountry,8058,7486,3304,4423,1423,410,1390,3283,572,1831
Apr 2023 to Mar 2024 (Period 02),CrossCountry,7184,9564,4174,3047,1780,524,1364,3756,563,1550
Apr 2023 to Mar 2024 (Period 03),CrossCountry,7216,13321,9853,5354,3017,855,2836,5552,929,2253
Apr 2023 to Mar 2024 (Period 04),CrossCountry,9102,10500,2103,5484,1626,510,2196,4662,1264,2865
Apr 2023 to Mar 2024 (Period 05),CrossCountry,6774,7590,2403,3347,1604,341,2210,6188,974,3118
Apr 2023 to Mar 2024 (Period 06),CrossCountry,5897,9358,1916,5066,2045,656,1319,5460,942,3016
Apr 2023 to Mar 2024 (Period 07),CrossCountry,8559,9906,1576,4124,2164,689,1500,5732,1070,3144
Apr 2023 to Mar 2024 (Period 08),CrossCountry,7353,13744,14472,4199,2038,890,1310,6829,1036,3337
Apr 2023 to Mar 2024 (Period 09),CrossCountry,6417,9165,8845,7222,3076,962,2879,6880,1272,3003
Apr 2023 to Mar 2024 (Period 10),CrossCountry,8160,8299,14658,2576,1812,1218,3491,4738,894,2718
Apr 2023 to Mar 2024 (Period 11),CrossCountry,5672,13769,4520,4882,1734,926,1299,5534,1146,2341
Apr 2023 to Mar 2024 (Period 12),CrossCountry,6075,8414,6027,9167,1867,977,1443,4577,694,1847
Apr 2023 to Mar 2024 (Period 13),CrossCountry,8354,8024,2602,5545,2201,694,1250,5134,1195,2304
Apr 2024 to Mar 2025 (Period 01),CrossCountry,7276,8767,6053,7587,2080,380,1184,4472,792,1739
Apr 2024 to Mar 2025 (Period 02),CrossCountry,8775,10922,1713,4033,2535,612,1318,4280,634,1978
Apr 2024 to Mar 2025 (Period 03),CrossCountry,10443,8601,1001,3736,1760,496,2116,4983,991,2288
Apr 2024 to Mar 2025 (Period 04),CrossCountry,12247,12445,1008,5854,1904,580,1758,6105,838,2346
Apr 2024 to Mar 2025 (Period 05),CrossCountry,9622,12202,860,3861,2806,678,1924,5341,750,2526
Apr 2024 to Mar 2025 (Period 06),CrossCountry,10456,6331,1555,4953,1902,726,1219,4422,1297,2584
Apr 2024 to Mar 2025 (Period 07),CrossCountry,9115,11007,5667,2455,2330,896,892,5884,923,2697
Apr 2024 to Mar 2025 (Period 08),CrossCountry,9404,10513,3045,3352,1880,1044,1196,5242,890,2735
Apr 2024 to Mar 2025 (Period 09),CrossCountry,9899,16395,14559,3714,3470,1294,4218,7308,1089,3513
Apr 2024 to Mar 2025 (Period 10),CrossCountry,5196,9268,6376,4358,3721,626,2426,4429,737,2485
Apr 2024 to Mar 2025 (Period 11),CrossCountry,7681,12824,10185,3743,2904,696,1122,7038,789,1954
Apr 2024 to Mar 2025 (Period 12),CrossCountry,6929,6987,766,3429,1873,288,1562,5037,685,2762
Apr 2024 to Mar 2025 (Period 13),CrossCountry,8307,7878,392,3254,2361,510,1548,4837,741,2333
Apr 2025 to Mar 2026 (Period 01),CrossCountry,8978,9108,470,3144,2881,579,1448,4718,760,1852
Apr 2022 to Mar 2023 (Period 02),East Midlands Railway,11922,3862,469,3357,4533,574,2889,2128,580,1460
Apr 2022 to Mar 2023 (Period 03),East Midlands Railway,4254,5823,936,3056,5250,530,3160,1623,716,1366
Apr 2022 to Mar 2023 (Period 04),East Midlands Railway,6719,8177,10718,3927,8188,1002,3479,2078,897,1735
Apr 2022 to Mar 2023 (Period 05),East Midlands Railway,13447,7808,5527,8006,8193,1651,3287,2034,814,1414
Apr 2022 to Mar 2023 (Period 06),East Midlands Railway,3157,5173,2784,9212,6556,629,3060,1340,578,2014
Apr 2022 to Mar 2023 (Period 07),East Midlands Railway,5653,4822,2846,7185,4838,255,2380,1742,768,1696
Apr 2022 to Mar 2023 (Period 08),East Midlands Railway,6828,7587,5022,3322,7294,857,3498,2189,1324,2525
Apr 2022 to Mar 2023 (Period 09),East Midlands Railway,3176,8161,3578,3664,7889,960,2342,2819,836,2098
Apr 2022 to Mar 2023 (Period 10),East Midlands Railway,794,4489,1722,1160,4573,1392,2776,1346,682,1300
Apr 2022 to Mar 2023 (Period 11),East Midlands Railway,3168,10861,2515,3267,5122,604,1858,1678,754,1282
Apr 2022 to Mar 2023 (Period 12),East Midlands Railway,4508,6153,1017,3216,5268,437,2293,2388,924,1702
Apr 2022 to Mar 2023 (Period 13),East Midlands Railway,3001,10801,2067,3849,5208,156,2154,1748,644,1212
Apr 2023 to Mar 2024 (Period 01),East Midlands Railway,4612,10474,1008,4458,4413,298,2708,2118,514,932
Apr 2023 to Mar 2024 (Period 02),East Midlands Railway,5192,5240,1496,3029,4537,168,2714,2780,364,1404
Apr 2023 to Mar 2024 (Period 03),East Midlands Railway,4832,10979,3926,4369,6675,306,3295,2844,613,1164
Apr 2023 to Mar 2024 (Period 04),East Midlands Railway,5400,7805,1034,2747,6220,56,3133,1548,388,1556
Apr 2023 to Mar 2024 (Period 05),East Midlands Railway,5910,9433,837,2653,5735,592,3294,3244,514,1426
Apr 2023 to Mar 2024 (Period 06),East Midlands Railway,7562,9382,381,3196,6093,82,2006,2254,398,1286
Apr 2023 to Mar 2024 (Period 07),East Midlands Railway,5739,9228,994,2713,5497,186,2916,2262,905,1277
Apr 2023 to Mar 2024 (Period 08),East Midlands Railway,4978,11424,17837,4554,5998,506,4553,3732,682,1910
Apr 2023 to Mar 2024 (Period 09),East Midlands Railway,6302,11278,14581,6667,7470,380,4000,2449,614,2330
Apr 2023 to Mar 2024 (Period 10),East Midlands Railway,5937,8447,18514,3372,9004,275,3524,3399,738,1759
Apr 2023 to Mar 2024 (Period 11),East Midlands Railway,6893,15138,5357,3572,6072,144,2534,2523,529,1332
Apr 2023 to Mar 2024 (Period 12),East Midlands Railway,6415,8629,2601,5553,5554,301,2738,2630,584,1784
Apr 2023 to Mar 2024 (Period 13),East Midlands Railway,7769,9000,572,4722,6355,249,2150,2061,793,1170
Apr 2024 to Mar 2025 (Period 01),East Midlands Railway,7899,6306,1177,3697,5541,550,2152,2656,312,1097
Apr 2024 to Mar 2025 (Period 02),East Midlands Railway,4794,10071,1250,1977,6434,320,2246,1964,423,1128
Apr 2024 to Mar 2025 (Period 03),East Midlands Railway,10329,7108,1358,5023,7788,212,2892,1340,426,1556
Apr 2024 to Mar 2025 (Period 04),East Midlands Railway,8646,10639,709,2883,9414,446,2960,2444,465,1814
Apr 2024 to Mar 2025 (Period 05),East Midlands Railway,9526,11551,884,3154,9127,122,2793,2016,462,1239
Apr 2024 to Mar 2025 (Period 06),East Midlands Railway,12450,8948,1088,5112,8762,140,2632,2361,554,1802
Apr 2024 to Mar 2025 (Period 07),East Midlands Railway,9050,7694,5176,1515,6624,92,3242,2904,659,2075
Apr 2024 to Mar 2025 (Period 08),East Midlands Railway,8062,12031,3632,1658,9066,230,3412,2285,862,2089
Apr 2024 to Mar 2025 (Period 09),East Midlands Railway,7805,17643,10300,2395,7796,49,2912,3944,694,2401
Apr 2024 to Mar 2025 (Period 10),East Midlands Railway,4641,7047,2390,2048,7928,268,2598,1749,720,1557
Apr 2024 to Mar 2025 (Period 11),East Midlands Railway,8544,13365,8469,3832,7914,213,2324,2455,621,698
Apr 2024 to Mar 2025 (Period 12),East Midlands Railway,8222,9233,433,3409,7184,232,1756,1920,562,1518
Apr 2024 to Mar 2025 (Period 13),East Midlands Railway,6805,7775,261,3275,7316,214,2447,2688,514,1164
Apr 2025 to Mar 2026 (Period 01),East Midlands Railway,8162,6871,514,1420,6838,95,2707,2292,488,1586
