operator,financial_period,number_of_stops,on_time_percentage
,2023-24 Period 04,"12,232",75.2
,2023-24 Period 05,"11,873",76.3
,2023-24 Period 06,"11,479",75
,2023-24 Period 07,"11,657",76.3
,2023-24 Period 08,"11,893",70.6
,2023-24 Period 09,"9,944",58.3
,2023-24 Period 10,"11,257",64.4
,2023-24 Period 11,"11,599",70.7
,2023-24 Period 12,"11,767",75.8
,2023-24 Period 13,"11,564",71.4
,2024-25 Period 01,"11,015",72.9
,2024-25 Period 02,"11,515",76.4
,2024-25 Period 03,"12,003",78.3
,2024-25 Period 04,"11,569",75.2
,2024-25 Period 05,"12,009",76.5
,2024-25 Period 06,"12,004",77
,2024-25 Period 07,"11,478",72.5
,2024-25 Period 08,"11,651",73.6
,2024-25 Period 09,"10,271",66.2
,2024-25 Period 10,"11,373",79.1
,2024-25 Period 11,"12,000",72.4
,2024-25 Period 12,"11,814",69.4
,2024-25 Period 13,"12,691",72.9
Hull Trains,2022-23 Period 01,"3,103",68.1
,2022-23 Period 02,"3,042",63.4
,2022-23 Period 03,"2,809",62.7
,2022-23 Period 04,"2,485",51
,2022-23 Period 05,"2,442",51.9
,2022-23 Period 06,"3,065",55.4
,2022-23 Period 07,"2,851",53.4
,2022-23 Period 08,"2,974",39.1
,2022-23 Period 09,"2,888",34.8
,2022-23 Period 10,"2,082",42.4
,2022-23 Period 11,"3,050",49.4
,2022-23 Period 12,"2,998",57.7
,2022-23 Period 13,"3,075",55.9
,2023-24 Period 01,"3,236",53.3
,2023-24 Period 02,"2,950",55.2
,2023-24 Period 03,"3,066",51.3
,2023-24 Period 04,"3,014",57
,2023-24 Period 05,"3,169",57.8
,2023-24 Period 06,"3,076",55.6
,2023-24 Period 07,"3,161",50.8
,2023-24 Period 08,"3,099",43.9
,2023-24 Period 09,"3,015",38
,2023-24 Period 10,"2,626",42.5
,2023-24 Period 11,"2,911",48.2
,2023-24 Period 12,"2,637",46.4
,2023-24 Period 13,"3,249",52.4
,2024-25 Period 01,"3,007",56.5
,2024-25 Period 02,"2,997",56.2
,2024-25 Period 03,"3,139",56.7
,2024-25 Period 04,"3,147",54.2
,2024-25 Period 05,"3,103",51.4
,2024-25 Period 06,"3,061",54.4
,2024-25 Period 07,"2,933",49.7
,2024-25 Period 08,"2,929",46.4
,2024-25 Period 09,"2,745",37.6
,2024-25 Period 10,"2,785",45.6
,2024-25 Period 11,"2,803",43.1
,2024-25 Period 12,"3,023",51
,2024-25 Period 13,"3,228",58
London North Eastern Railway,2022-23 Period 01,"35,828",68.2
,2022-23 Period 02,"33,873",69.7
,2022-23 Period 03,"30,808",66.4
,2022-23 Period 04,"31,429",62.4
,2022-23 Period 05,"26,802",59.4
,2022-23 Period 06,"32,365",61.2
,2022-23 Period 07,"27,984",61
,2022-23 Period 08,"30,358",50.1
,2022-23 Period 09,"29,699",42.1
,2022-23 Period 10,"18,590",43.9
,2022-23 Period 11,"28,762",55.7
,2022-23 Period 12,"31,160",61.8
,2022-23 Period 13,"29,896",58.7
,2023-24 Period 01,"34,256",62.3
,2023-24 Period 02,"30,126",62.3
,2023-24 Period 03,"30,130",56.7
,2023-24 Period 04,"32,049",61.1
,2023-24 Period 05,"32,540",60.6
,2023-24 Period 06,"30,610",60.3
,2023-24 Period 07,"29,912",55.6
,2023-24 Period 08,"29,407",43.8
,2023-24 Period 09,"30,800",49
,2023-24 Period 10,"26,410",48.6
,2023-24 Period 11,"29,533",56.5
,2023-24 Period 12,"28,344",55.8
,2023-24 Period 13,"32,765",60.7
,2024-25 Period 01,"30,587",59.6
,2024-25 Period 02,"32,025",59.8
,2024-25 Period 03,"32,950",59.7
,2024-25 Period 04,"32,642",57
,2024-25 Period 05,"32,203",56.8
,2024-25 Period 06,"31,075",57
,2024-25 Period 07,"30,824",55.4
,2024-25 Period 08,"32,547",57
,2024-25 Period 09,"31,998",45.8
,2024-25 Period 10,"31,266",54.8
,2024-25 Period 11,"32,623",53.7
,2024-25 Period 12,"32,679",55.8
,2024-25 Period 13,"35,965",61.3
London Overground,2022-23 Period 01,"672,549",80.6
,2022-23 Period 02,"636,898",79.4
,2022-23 Period 03,"561,106",77.6
,2022-23 Period 04,"606,800",75.4
,2022-23 Period 05,"511,901",73.8
,2022-23 Period 06,"626,721",75.8
,2022-23 Period 07,"576,949",74.6
,2022-23 Period 08,"610,059",71.2
,2022-23 Period 09,"621,358",69.6
,2022-23 Period 10,"333,107",69.4
,2022-23 Period 11,"624,966",72.4
,2022-23 Period 12,"601,287",74.5
,2022-23 Period 13,"599,002",74.4
,2023-24 Period 01,"655,452",77.7
,2023-24 Period 02,"648,484",75.2
,2023-24 Period 03,"648,299",74.2
,2023-24 Period 04,"629,745",74.4
,2023-24 Period 05,"580,946",76.8
,2023-24 Period 06,"632,428",75
,2023-24 Period 07,"635,096",71.1
,2023-24 Period 08,"633,974",70.4
,2023-24 Period 09,"622,903",66.7
,2023-24 Period 10,"543,635",72.6
,2023-24 Period 11,"600,381",72.5
,2023-24 Period 12,"608,331",72.3
,2023-24 Period 13,"623,644",74.9
,2024-25 Period 01,"613,579",73.9
,2024-25 Period 02,"649,625",74.6
,2024-25 Period 03,"614,854",74.7
,2024-25 Period 04,"621,792",72.3
,2024-25 Period 05,"605,402",71.7
,2024-25 Period 06,"625,394",74.5
,2024-25 Period 07,"650,192",71.5
,2024-25 Period 08,"630,184",70.3
,2024-25 Period 09,"629,632",66
,2024-25 Period 10,"587,437",72.3
,2024-25 Period 11,"611,253",69.3
,2024-25 Period 12,"620,938",73.2
,2024-25 Period 13,"684,841",72.2
Lumo,2022-23 Period 01,"1,198",65.3
,2022-23 Period 02,"1,141",59.2
,2022-23 Period 03,"1,143",57.9
,2022-23 Period 04,"1,155",59.1
,2022-23 Period 05,"1,132",53
,2022-23 Period 06,"1,188",54.9
,2022-23 Period 07,764,60.2
,2022-23 Period 08,"1,147",51.6
,2022-23 Period 09,"1,104",45.7
,2022-23 Period 10,902,49.7
,2022-23 Period 11,"1,122",53.5
,2022-23 Period 12,"1,073",57
,2022-23 Period 13,"1,187",55.3
,2023-24 Period 01,"1,286",58.9
,2023-24 Period 02,"1,202",62.6
,2023-24 Period 03,"1,204",55.9
,2023-24 Period 04,"1,219",60
,2023-24 Period 05,"1,251",62
,2023-24 Period 06,"1,170",58.5
,2023-24 Period 07,"1,090",55.3
,2023-24 Period 08,"1,147",34.4
,2023-24 Period 09,"1,150",48.5
,2023-24 Period 10,"1,070",45.1
,2023-24 Period 11,"1,165",57.5
,2023-24 Period 12,"1,121",63
,2023-24 Period 13,"1,250",63.2
,2024-25 Period 01,"1,200",59.2
,2024-25 Period 02,"1,240",59
,2024-25 Period 03,"1,249",59.4
,2024-25 Period 04,"1,240",59
,2024-25 Period 05,"1,235",62.4
,2024-25 Period 06,"1,186",59.3
,2024-25 Period 07,"1,037",57.8
,2024-25 Period 08,"1,149",57.6
,2024-25 Period 09,"1,192",49.9
,2024-25 Period 10,"1,158",51.6
,2024-25 Period 11,"1,124",55.8
,2024-25 Period 12,977,64.8
,2024-25 Period 13,"1,107",59.3
Merseyrail,2022-23 Period 01,"262,436",76.9
,2022-23 Period 02,"278,974",69
,2022-23 Period 03,"212,747",69.3
,2022-23 Period 04,"270,716",71.7
,2022-23 Period 05,"250,193",67.2
,2022-23 Period 06,"278,399",76.8
,2022-23 Period 07,"257,271",76.9
,2022-23 Period 08,"268,318",75.1
,2022-23 Period 09,"269,279",73.5
,2022-23 Period 10,"178,203",76.5
,2022-23 Period 11,"256,226",73.3
,2022-23 Period 12,"263,208",76.9
,2022-23 Period 13,"256,366",76.1
,2023-24 Period 01,"282,144",75.3
,2023-24 Period 02,"268,046",73.3
,2023-24 Period 03,"277,103",73.7
,2023-24 Period 04,"265,497",73.9
,2023-24 Period 05,"260,333",71.5
,2023-24 Period 06,"262,329",70.7
,2023-24 Period 07,"255,339",68.7
,2023-24 Period 08,"260,360",70.8
,2023-24 Period 09,"258,133",66.6
,2023-24 Period 10,"232,764",68.8
,2023-24 Period 11,"258,892",68.1
,2023-24 Period 12,"259,996",65.5
,2023-24 Period 13,"268,304",71.2
,2024-25 Period 01,"257,217",72.9
,2024-25 Period 02,"262,353",70.7
,2024-25 Period 03,"273,956",71.3
,2024-25 Period 04,"273,943",68.9
,2024-25 Period 05,"272,798",65.8
,2024-25 Period 06,"273,122",74
,2024-25 Period 07,"262,572",75.6
,2024-25 Period 08,"263,717",69.6
,2024-25 Period 09,"268,771",69.1
,2024-25 Period 10,"252,287",73.1
,2024-25 Period 11,"265,958",69.8
,2024-25 Period 12,"278,675",69.2
,2024-25 Period 13,"296,590",69.5
Northern Trains,2022-23 Period 01,"674,640",65.9
,2022-23 Period 02,"623,810",66.3
,2022-23 Period 03,"536,262",64.7
,2022-23 Period 04,"601,918",61.7
,2022-23 Period 05,"538,051",61.6
,2022-23 Period 06,"607,257",63.7
,2022-23 Period 07,"529,291",59.3
,2022-23 Period 08,"552,502",48
,2022-23 Period 09,"588,559",47.9
,2022-23 Period 10,"286,339",54.4
,2022-23 Period 11,"656,832",58.7
,2022-23 Period 12,"698,317",60.9
,2022-23 Period 13,"629,808",63.4
,2023-24 Period 01,"743,162",65.6
,2023-24 Period 02,"658,213",63.3
,2023-24 Period 03,"612,558",59.8
,2023-24 Period 04,"643,403",62.1
,2023-24 Period 05,"656,844",61.1
,2023-24 Period 06,"615,967",60.7
,2023-24 Period 07,"642,238",56.2
,2023-24 Period 08,"668,143",50
,2023-24 Period 09,"646,958",42.8
,2023-24 Period 10,"608,992",56.3
,2023-24 Period 11,"677,301",59.9
,2023-24 Period 12,"672,976",61.2
,2023-24 Period 13,"712,985",63.5
,2024-25 Period 01,"659,968",62.6
,2024-25 Period 02,"658,697",61.7
,2024-25 Period 03,"677,686",61.7
,2024-25 Period 04,"664,751",60.9
,2024-25 Period 05,"700,587",60.3
,2024-25 Period 06,"669,361",58.1
,2024-25 Period 07,"675,476",54.2
,2024-25 Period 08,"668,802",48.5
,2024-25 Period 09,"676,616",47.7
,2024-25 Period 10,"551,726",55.7
,2024-25 Period 11,"707,857",57.4
,2024-25 Period 12,"730,828",61.2
,2024-25 Period 13,"764,478",65.5
ScotRail,2022-23 Period 01,"587,722",76
,2022-23 Period 02,"523,799",73.3
,2022-23 Period 03,"390,446",72.6
,2022-23 Period 04,"471,567",70.6
,2022-23 Period 05,"546,179",71
,2022-23 Period 06,"624,402",71.3
,2022-23 Period 07,"559,190",67.7
,2022-23 Period 08,"542,620",58.6
,2022-23 Period 09,"615,975",63
,2022-23 Period 10,"329,390",62.8
,2022-23 Period 11,"623,053",68.1
,2022-23 Period 12,"626,084",71
,2022-23 Period 13,"602,816",72.8
,2023-24 Period 01,"647,635",74.4
,2023-24 Period 02,"622,330",75.1
,2023-24 Period 03,"622,093",71.6
,2023-24 Period 04,"617,917",74.1
,2023-24 Period 05,"623,591",72.2
,2023-24 Period 06,"623,844",72.7
,2023-24 Period 07,"591,387",67
,2023-24 Period 08,"596,607",60.2
,2023-24 Period 09,"620,307",62
,2023-24 Period 10,"543,771",65.3
,2023-24 Period 11,"560,546",67.9
,2023-24 Period 12,"635,182",70.4
,2023-24 Period 13,"652,185",72.8
,2024-25 Period 01,"611,313",72.5
,2024-25 Period 02,"637,759",71.9
,2024-25 Period 03,"648,352",72.5
,2024-25 Period 04,"563,990",71.8
,2024-25 Period 05,"491,593",68.5
,2024-25 Period 06,"500,947",71.2
,2024-25 Period 07,"536,440",69.1
,2024-25 Period 08,"647,444",58.6
,2024-25 Period 09,"652,599",61.6
,2024-25 Period 10,"575,852",65.8
,2024-25 Period 11,"591,244",69.4
,2024-25 Period 12,"666,840",71.6
,2024-25 Period 13,"697,682",74.7
South Western Railway,2022-23 Period 01,"551,625",76.2
,2022-23 Period 02,"541,300",75.5
,2022-23 Period 03,"487,152",69.3
,2022-23 Period 04,"539,788",68.1
,2022-23 Period 05,"485,838",69.8
,2022-23 Period 06,"548,692",70.2
,2022-23 Period 07,"511,533",70.9
,2022-23 Period 08,"494,693",59
,2022-23 Period 09,"519,194",53.7
,2022-23 Period 10,"185,665",66.2
,2022-23 Period 11,"510,518",59.5
,2022-23 Period 12,"530,939",69.5
,2022-23 Period 13,"488,405",71
,2023-24 Period 01,"561,625",74.5
,2023-24 Period 02,"539,096",74.3
,2023-24 Period 03,"527,112",70.4
,2023-24 Period 04,"463,061",69.7
,2023-24 Period 05,"480,209",73.4
,2023-24 Period 06,"486,752",69.9
,2023-24 Period 07,"510,833",64.6
,2023-24 Period 08,"543,410",58.5
,2023-24 Period 09,"502,605",49.6
,2023-24 Period 10,"482,197",62.9
,2023-24 Period 11,"512,299",68
,2023-24 Period 12,"523,306",68.2
,2023-24 Period 13,"553,177",71.1
,2024-25 Period 01,"490,744",72.4
,2024-25 Period 02,"520,167",71.1
,2024-25 Period 03,"568,267",69.4
,2024-25 Period 04,"564,761",67.9
,2024-25 Period 05,"552,850",70.8
,2024-25 Period 06,"541,948",70.1
,2024-25 Period 07,"533,586",64.2
,2024-25 Period 08,"550,120",60.5
,2024-25 Period 09,"536,772",45.7
,2024-25 Period 10,"485,820",59.7
,2024-25 Period 11,"537,953",62.6
,2024-25 Period 12,"546,101",67.8
,2024-25 Period 13,"586,114",70.9
Southeastern,2022-23 Period 01,"558,639",76.1
,2022-23 Period 02,"523,630",72.7
,2022-23 Period 03,"457,791",70.2
,2022-23 Period 04,"519,869",67.1
,2022-23 Period 05,"430,015",63
,2022-23 Period 06,"514,726",64.9
,2022-23 Period 07,"482,433",68.1
,2022-23 Period 08,"501,610",57.6
,2022-23 Period 09,"517,882",54
,2022-23 Period 10,"262,530",52.5
,2022-23 Period 11,"484,244",60.9
,2022-23 Period 12,"529,910",66.3
,2022-23 Period 13,"483,241",68.2
,2023-24 Period 01,"544,000",73.2
,2023-24 Period 02,"499,277",72.5
,2023-24 Period 03,"482,192",67.8
,2023-24 Period 04,"507,689",70.3
,2023-24 Period 05,"526,604",71.9
,2023-24 Period 06,"488,538",69.1
,2023-24 Period 07,"508,491",65.4
,2023-24 Period 08,"546,248",64.1
,2023-24 Period 09,"524,359",59.6
,2023-24 Period 10,"483,462",61.6
,2023-24 Period 11,"529,246",64.2
,2023-24 Period 12,"542,388",68.5
,2023-24 Period 13,"552,372",70.8
,2024-25 Period 01,"522,440",71.6
,2024-25 Period 02,"531,261",71.4
,2024-25 Period 03,"554,546",72.2
,2024-25 Period 04,"552,229",68.8
,2024-25 Period 05,"557,466",69.7
,2024-25 Period 06,"555,182",69.5
,2024-25 Period 07,"552,837",64.3
,2024-25 Period 08,"549,456",60.4
,2024-25 Period 09,"548,074",52
,2024-25 Period 10,"480,206",61.8
,2024-25 Period 11,"559,420",61.9
,2024-25 Period 12,"569,137",65.9
,2024-25 Period 13,"604,728",68.3
TfW Rail,2022-23 Period 01,"253,141",61.3
,2022-23 Period 02,"242,538",62.3
,2022-23 Period 03,"221,938",60.6
,2022-23 Period 04,"242,151",58.4
,2022-23 Period 05,"217,880",58.3
,2022-23 Period 06,"249,938",62.2
,2022-23 Period 07,"219,362",61.5
,2022-23 Period 08,"224,728",55.2
,2022-23 Period 09,"233,275",52.5
,2022-23 Period 10,"148,205",63
,2022-23 Period 11,"222,049",58.7
,2022-23 Period 12,"226,506",60.2
,2022-23 Period 13,"187,610",64
,2023-24 Period 01,"207,656",60
,2023-24 Period 02,"193,984",57.4
,2023-24 Period 03,"200,658",53.1
,2023-24 Period 04,"223,262",59
,2023-24 Period 05,"230,291",59.7
,2023-24 Period 06,"233,977",61.2
,2023-24 Period 07,"234,185",61.4
,2023-24 Period 08,"234,563",56.9
,2023-24 Period 09,"241,508",49.5
,2023-24 Period 10,"232,720",60.7
,2023-24 Period 11,"269,861",65.3
,2023-24 Period 12,"272,986",65.9
,2023-24 Period 13,"291,702",68.3
,2024-25 Period 01,"288,809",67.7
,2024-25 Period 02,"297,771",67
,2024-25 Period 03,"316,290",61.5
,2024-25 Period 04,"327,940",63.1
,2024-25 Period 05,"331,552",60.1
,2024-25 Period 06,"325,027",60.6
,2024-25 Period 07,"299,821",60.4
,2024-25 Period 08,"302,508",57
,2024-25 Period 09,"308,833",53
,2024-25 Period 10,"286,574",60.6
,2024-25 Period 11,"322,187",63.6
,2024-25 Period 12,"327,267",66.1
,2024-25 Period 13,"342,148",67.9
TransPennine Express,2022-23 Period 01,"55,708",59.4
,2022-23 Period 02,"56,063",58.8
,2022-23 Period 03,"45,917",57.5
,2022-23 Period 04,"54,798",54
,2022-23 Period 05,"47,606",56.8
,2022-23 Period 06,"59,709",57.4
,2022-23 Period 07,"50,013",53.2
,2022-23 Period 08,"48,522",45.8
,2022-23 Period 09,"55,625",44.7
,2022-23 Period 10,"25,212",43.8
,2022-23 Period 11,"53,275",43.7
,2022-23 Period 12,"55,257",49.4
,2022-23 Period 13,"49,207",49.8
,2023-24 Period 01,"65,578",51.3
,2023-24 Period 02,"60,735",50.6
,2023-24 Period 03,"52,069",49.9
,2023-24 Period 04,"68,964",49.9
,2023-24 Period 05,"64,691",48.5
,2023-24 Period 06,"67,986",49.2
,2023-24 Period 07,"67,834",44.2
,2023-24 Period 08,"74,245",40.6
,2023-24 Period 09,"72,051",33.3
,2023-24 Period 10,"72,087",45.2
,2023-24 Period 11,"76,495",49
,2023-24 Period 12,"75,356",53.8
,2023-24 Period 13,"81,501",54.7
,2024-25 Period 01,"70,715",52.3
,2024-25 Period 02,"68,433",53.8
,2024-25 Period 03,"82,505",52.9
,2024-25 Period 04,"77,096",53.7
,2024-25 Period 05,"82,819",50.8
,2024-25 Period 06,"83,990",48.1
,2024-25 Period 07,"85,039",45.4
,2024-25 Period 08,"79,207",44.7
,2024-25 Period 09,"80,597",40.9
,2024-25 Period 10,"75,762",43.4
,2024-25 Period 11,"80,929",44.1
,2024-25 Period 12,"87,419",45.3
,2024-25 Period 13,"86,059",53.3
West Midlands Trains,2022-23 Period 01,"338,791",65.6
,2022-23 Period 02,"333,035",63.8
,2022-23 Period 03,"285,059",61.7
,2022-23 Period 04,"318,814",58.5
,2022-23 Period 05,"275,184",52.3
,2022-23 Period 06,"342,237",58.4
,2022-23 Period 07,"308,861",58.2
,2022-23 Period 08,"297,349",49
,2022-23 Period 09,"323,394",50.1
,2022-23 Period 10,"148,199",54.2
,2022-23 Period 11,"312,384",58.5
,2022-23 Period 12,"343,486",63.5
,2022-23 Period 13,"303,461",62.8
,2023-24 Period 01,"339,278",64.4
,2023-24 Period 02,"318,365",66.8
,2023-24 Period 03,"304,334",60
,2023-24 Period 04,"315,440",61.7
,2023-24 Period 05,"314,851",64.3
,2023-24 Period 06,"309,214",62.6
,2023-24 Period 07,"308,257",60.7
,2023-24 Period 08,"333,637",57.3
,2023-24 Period 09,"313,199",52.5
,2023-24 Period 10,"292,353",60.7
,2023-24 Period 11,"324,501",63.7
,2023-24 Period 12,"337,528",65.9
,2023-24 Period 13,"345,642",67.7
,2024-25 Period 01,"315,802",68.2
,2024-25 Period 02,"321,525",65.2
,2024-25 Period 03,"335,488",65.2
,2024-25 Period 04,"341,611",63.7
,2024-25 Period 05,"342,020",64.5
,2024-25 Period 06,"347,054",65.3
,2024-25 Period 07,"341,108",60.1
,2024-25 Period 08,"342,706",57.8
,2024-25 Period 09,"334,650",53.6
,2024-25 Period 10,"301,583",62.8
,2024-25 Period 11,"352,979",68.1
,2024-25 Period 12,"361,197",69.6
,2024-25 Period 13,"380,219",71.5
